,Country Code,Year,Consumer price index (2010 = 100),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, consumer prices (annual %)",Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)",CCI
0,CAN,1960,13.344,2259.251,,1.359,5.75,,
1,CAN,1961,13.48,2240.433,1.121,1.019,5.604,,
2,CAN,1962,13.623,2268.585,5.446,1.062,5.708,,
3,CAN,1963,13.845,2374.498,3.405,1.628,5.75,,
4,CAN,1964,14.11,2555.111,4.651,1.912,5.75,,
5,CAN,1965,14.439,2770.362,4.41,2.333,5.771,,
6,CAN,1966,14.99,3047.106,4.736,3.816,6.0,,
7,CAN,1967,15.527,3217.159,1.253,3.58,5.917,,
8,CAN,1968,16.156,3462.679,3.315,4.055,6.917,,
9,CAN,1969,16.893,3763.953,3.627,4.562,7.958,4.7,
10,CAN,1970,17.459,4121.933,,3.346,8.167,5.9,
11,CAN,1971,17.931,4520.163,,2.705,6.479,6.4,
12,CAN,1972,18.825,5089.588,,4.988,6.0,6.3,
13,CAN,1973,20.235,5838.661,,7.488,7.646,5.6,
14,CAN,1974,22.46,7033.011,,10.997,10.75,5.4,
15,CAN,1975,24.857,7511.211,,10.672,9.417,,
16,CAN,1976,26.732,8809.265,,7.542,10.042,7.09,
17,CAN,1977,28.864,8919.057,,7.976,8.5,8.05,
18,CAN,1978,31.454,9123.691,,8.974,9.688,8.38,
19,CAN,1979,34.33,10043.661,,9.145,12.896,7.53,
20,CAN,1980,37.808,11170.564,,10.129,14.25,7.54,
21,CAN,1981,42.523,12337.466,,12.472,19.292,7.61,
22,CAN,1982,47.102,12481.875,,10.769,15.812,11.04,
23,CAN,1983,49.864,13425.122,,5.864,11.167,12.02,
24,CAN,1984,52.011,13877.917,,4.305,12.062,11.34,
25,CAN,1985,54.071,14114.808,,3.962,10.583,10.5,
26,CAN,1986,56.339,14461.069,,4.195,10.521,9.59,
27,CAN,1987,58.794,16308.967,,4.356,9.521,8.82,
28,CAN,1988,61.162,18936.964,,4.028,10.833,7.76,
29,CAN,1989,64.21,20715.631,,4.984,13.333,7.55,
30,CAN,1990,67.28,21448.362,,4.78,14.062,8.13,
31,CAN,1991,71.065,21768.343,,5.626,9.938,10.32,
32,CAN,1992,72.124,20879.848,,1.49,7.479,11.2,
33,CAN,1993,73.469,20121.161,,1.865,5.938,11.38,
34,CAN,1994,73.59,19935.381,,0.166,6.875,10.4,
35,CAN,1995,75.172,20613.788,,2.149,8.646,9.49,
36,CAN,1996,76.352,21227.348,,1.571,6.062,9.62,
37,CAN,1997,77.59,21901.563,,1.621,4.958,9.1,
